bookID,average_rating,isbn,isbn13,language_code,No_of_pages,ratings_count,text_reviews_count
1,4.56,439785960,9.78E+12,eng,652,1944099,26249
2,4.49,439358078,9.78E+12,eng,870,1996446,27613
3,4.47,439554934,9.78E+12,eng,320,5629932,70390
4,4.41,439554896,9.78E+12,eng,352,6267,272
8,4.78,439682584,9.78E+12,eng,2690,38872,154
9,3.69,976540606,9.78E+12,en-US,152,18,1
10,4.73,439827604,9.78E+12,eng,3342,27410,820
12,4.38,517226952,9.78E+12,eng,815,3602,258
13,4.38,345453743,9.78E+12,eng,815,240189,3954
14,4.22,1400052920,9.78E+12,eng,215,4416,408
16,4.22,739322206,9.78E+12,eng,6,1222,253
18,4.38,517149257,9.78E+12,en-US,815,2801,192
22,3.43,767915062,9.78E+12,eng,55,6993,470
23,3.88,767910435,9.78E+12,eng,256,2020,124
24,4.07,767903862,9.78E+12,eng,335,68213,4077
26,3.83,60920084,9.78E+12,en-US,299,43779,2146
27,3.87,380713802,9.78E+12,eng,254,46397,2127
28,3.92,380727501,9.78E+12,eng,324,76476,3159
29,3.94,380715430,9.78E+12,eng,270,26672,1986
30,4.59,345538374,9.78E+12,eng,1728,97731,1536
31,4.49,618517650,9.78E+12,eng,1184,1670,91
32,4.49,618346244,9.78E+12,eng,1137,2819,139
34,4.35,618346252,9.78E+12,eng,398,2009749,12784
35,4.49,618260587,9.78E+12,en-US,1216,1606,139
36,4.53,618391002,9.78E+12,eng,218,18934,43
37,4.5,618510826,9.78E+12,eng,224,343,6
38,4.49,618153977,9.78E+12,eng,1223,216,19
50,3.7,689840926,9.78E+12,eng,208,254827,11346
51,3.97,1557344493,9.78E+12,eng,48,35,2
53,3.87,385326505,9.78E+12,eng,144,1996,326
54,4.33,1575606240,9.78E+12,eng,56,6,0
55,3.48,1595580271,9.78E+12,en-US,228,99,16
57,3.75,1595962808,9.78E+12,eng,304,167,4
58,3.6,670059676,9.78E+12,eng,256,957,112
59,4.07,141312629,9.78E+12,eng,137,4319,289
61,4.17,595321801,9.78E+12,eng,228,1155,92
63,3.56,1590301943,9.78E+12,eng,339,295,42
66,3.99,449146979,9.78E+12,eng,369,341,12
67,3.83,61159174,9.78E+12,eng,388,28962,2576
69,3.83,60749911,9.78E+12,eng,576,22,3
71,3.83,273704745,9.78E+12,eng,334,1398,78
72,4.16,1932386106,9.78E+12,eng,352,50,4
74,4.43,374517193,9.78E+12,eng,416,550,36
75,3.95,374280398,9.78E+12,en-US,248,1561,192
76,4.15,374519749,9.78E+12,eng,128,253,18
77,4.24,374522596,9.78E+12,en-US,288,3365,290
78,4.33,374518734,9.78E+12,eng,720,2966,211
79,4.22,374522871,9.78E+12,eng,448,5452,245
80,3.91,374519323,9.78E+12,eng,160,671,52
81,4.22,374516006,9.78E+12,eng,288,533,34
83,4.22,374520658,9.78E+12,eng,208,1263,91
85,3.73,822205106,9.78E+12,eng,81,1348,69
86,3.83,679734996,9.78E+12,eng,249,2732,63
89,3.94,1596670231,9.78E+12,eng,138,31,1
90,3.75,1581807740,9.78E+12,en-US,128,61,4
91,4.45,800793617,9.78E+12,eng,192,822,53
92,3.7,871202867,9.78E+12,en-US,72,71,2
93,3.98,753454947,9.78E+12,eng,352,150657,2175
94,3.28,871209993,9.78E+12,eng,192,53,5
96,4.45,1852402873,9.78E+12,eng,192,34,6
98,3.88,761129588,9.78E+12,eng,832,11489,658
99,3.82,972016414,9.78E+12,eng,123,34,8
100,3.75,1581805632,9.78E+12,en-US,128,75,4
103,3.83,441294677,9.78E+12,eng,423,2692,168
105,3.9,441102670,9.78E+12,eng,436,38651,552
106,3.87,441172695,9.78E+12,eng,331,96649,2306
107,4,765306476,9.78E+12,en-US,592,755,21
109,3.85,399128980,9.78E+12,eng,480,261,18
110,3.87,765353709,9.78E+12,eng,426,4561,76
112,3.92,441104029,9.78E+12,eng,408,84276,1370
117,3.85,441328008,9.78E+12,eng,471,45211,616
123,4.35,385732546,9.78E+12,eng,291,44,12
129,4.28,785260056,9.78E+12,en-US,256,16,1
130,3.31,471780936,9.78E+12,eng,205,163,16
131,3.79,325001537,9.78E+12,eng,240,10,0
133,3.5,470045299,9.78E+12,eng,386,102,9
135,3.62,72262788,9.78E+12,eng,260,24,0
137,3.52,764569244,9.78E+12,eng,384,51,4
138,4.27,471933821,9.78E+12,eng,260,9,0
139,3.55,764559915,9.78E+12,en-US,391,19,1
140,3.89,764584383,9.78E+12,en-US,864,17,3
141,3.82,596523696,9.78E+12,eng,873,163,4
142,4.09,806523492,9.78E+12,eng,240,47,5
144,4.08,806525363,9.78E+12,eng,206,12,2
147,3.65,596527314,9.78E+12,eng,514,49,1
151,4.04,143035002,9.78E+12,eng,838,15747,1795
152,4.04,451528611,9.78E+12,eng,960,108970,5694
153,4.04,140449175,9.78E+12,eng,837,2835,300
154,3.89,822001837,9.78E+12,eng,80,15,3
155,4.04,1593080271,9.78E+12,eng,803,9362,710
156,4.04,486437965,9.78E+12,eng,752,460,71
157,4.04,1593081774,9.78E+12,eng,803,298,47
159,2.96,778322270,9.78E+12,eng,368,400,64
160,4.19,521313252,9.78E+12,eng,128,1191,32
162,3.7,140183957,9.78E+12,eng,160,3168,250
163,3.96,679767479,9.78E+12,eng,367,2077,209
164,3.89,1568491980,9.78E+12,eng,256,587,29
165,3.82,743270797,9.78E+12,en-US,320,299,39
166,4.33,932863051,9.78E+12,eng,100,9,0
168,3.58,742508803,9.78E+12,eng,224,16,4
171,3.4,205358624,9.78E+12,eng,216,10,0
177,3.94,1557344035,9.78E+12,eng,48,17,0
180,3.99,380720442,9.78E+12,en-US,360,985,23
181,4.01,821925326,9.78E+12,eng,250,37,7
201,4.01,606105263,9.78E+12,spa,205,6,1
204,4.11,751506435,9.78E+12,eng,367,366,16
207,3.94,743499344,9.78E+12,en-US,320,346,45
208,3.6,765313405,9.78E+12,eng,331,9530,604
213,3.91,1400032490,9.78E+12,eng,244,770,72
214,4.04,1400032482,9.78E+12,eng,215,688,68
216,3.94,1400032466,9.78E+12,eng,191,2739,158
231,3.41,312424442,9.78E+12,eng,738,20508,1686
237,3.9,806930772,9.78E+12,eng,48,64,18
244,4.04,140366601,9.78E+12,eng,287,76,6
245,4.23,811201120,9.78E+12,eng,217,937,50
249,3.69,802131786,9.78E+12,eng,318,50905,2290
250,3.82,802151825,9.78E+12,eng,348,13549,448
251,4.09,802151787,9.78E+12,eng,316,3181,53
252,4.04,802151809,9.78E+12,eng,506,7024,248
253,3.83,811201066,9.78E+12,eng,292,2627,142
264,3.77,141439637,9.78E+12,eng,797,60027,1854
269,3.77,1593080964,9.78E+12,eng,635,386,40
275,3.75,375700528,9.78E+12,eng,117,22014,1363
278,3.85,1565842219,9.78E+12,eng,192,918,62
280,3.67,394743040,9.78E+12,en-US,181,1939,122
283,3.89,2070388093,9.78E+12,fre,246,312,23
285,3.67,1851681825,9.78E+12,eng,178,201,9
290,3.98,394431243,9.78E+12,eng,216,1272,78
291,3.92,806501901,9.78E+12,eng,132,6175,492
295,3.83,753453800,9.78E+12,eng,311,301399,6160
296,3.83,1402714572,9.78E+12,en-US,213,393,41
297,3.83,1416500294,9.78E+12,eng,245,5900,270
298,3.83,689854684,9.78E+12,eng,64,103,16
299,3.83,517221144,9.78E+12,en-US,272,56,4
302,4.04,1577658051,9.78E+12,eng,232,85,18
313,4.63,933121180,9.78E+12,eng,270,81,4
320,4.06,60531045,9.78E+12,eng,417,547207,15763
324,4.06,785950109,9.78E+12,spa,448,54,6
325,4.06,8423919005,9.79E+12,spa,456,73,8
330,4.04,394800842,9.78E+12,eng,64,2724,153
332,3.58,821778250,9.78E+12,eng,256,89,11
333,3.46,60733039,9.78E+12,eng,147,206,23
337,4.02,8432216062,9.79E+12,spa,239,3956,242
338,4.24,553348981,9.78E+12,eng,352,4157,393
343,4.02,140120831,9.78E+12,eng,263,212561,7070
347,4.01,1582881847,9.78E+12,eng,738,250,17
348,4.01,345413997,9.78E+12,eng,304,16743,617
349,4.17,312863551,9.78E+12,eng,382,3667,416
350,3.92,441788386,9.78E+12,eng,528,241727,5985
354,3.87,441748600,9.78E+12,en-US,434,10140,187
355,3.78,345316509,9.78E+12,en-US,439,15580,422
356,3.97,765314932,9.78E+12,eng,256,6723,188
357,4.06,671742515,9.78E+12,en-US,307,65988,1353
359,3.92,345455290,9.78E+12,eng,298,21562,722
360,3.97,345418778,9.78E+12,en-US,240,72235,1269
362,4.14,345476514,9.78E+12,eng,368,2548,47
367,3.6,345368436,9.78E+12,eng,256,864,80
377,3.92,1417622857,9.78E+12,eng,336,5,0
378,4.21,394820371,9.78E+12,en-US,256,206193,8290
382,4.1,573650969,9.78E+12,eng,72,94,13
385,3.57,691122946,9.78E+12,eng,67,8773,937
